ARO_ID,Gene,Organism,Antibiotics,Drug_Class,Resistance_Mechanism
3001980,CTX-M-121,Escherichia coli,,cephalosporin,antibiotic inactivation
3002372,VEB-3,Enterobacter cloacae,,monobactam;cephalosporin,antibiotic inactivation
3002835,lnuA,Staphylococcus haemolyticus,lincomycin;pirlimycin,lincosamide antibiotic,antibiotic inactivation
3001794,OXA-45,Pseudomonas aeruginosa,oxacillin,penicillin beta-lactam,antibiotic inactivation
3001800,OXA-226,Pseudomonas aeruginosa,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3003163,CTX-M-155,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3002146,DHA-15,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3003109,msrE,Acinetobacter baumannii,erythromycin,macrolide antibiotic;streptogramin antibiotic,antibiotic target protection
3002415,OXY-6-3,Klebsiella oxytoca,,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002804,FosA2,Enterobacter cloacae,fosfomycin,phosphonic acid antibiotic,antibiotic inactivation
3002649,APH(3')-Va,Streptomyces fradiae,neomycin;ribostamycin;paromomycin,aminoglycoside antibiotic,antibiotic inactivation
3002528,AAC(3)-Ia,Pseudomonas aeruginosa,astromicin;sisomicin;gentamicin,aminoglycoside antibiotic,antibiotic inactivation
3002771,QnrB58,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3003198,rmtH,Klebsiella pneumoniae,amikacin;tobramycin;arbekacin;gentamicin A;gentamicin,aminoglycoside antibiotic,antibiotic target alteration
3002413,OXY-6-1,Klebsiella oxytoca,,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000504,golS,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,chloramphenicol,monobactam;carbapenem;cephalosporin;penicillin beta-lactam;phenicol antibiotic,antibiotic efflux
3003550,mdtP,Escherichia coli str. K-12 substr. W3110,acriflavine;puromycin,nucleoside antibiotic;disinfecting agents and antiseptics,antibiotic efflux
3002125,CMY-114,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3001808,OXA-60,Ralstonia pickettii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001650,OXA-90,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002380,SME-2,Serratia marcescens,,carbapenem,antibiotic inactivation
3002538,AAC(3)-IIIc,Pseudomonas aeruginosa,gentamicin A;gentamicin,aminoglycoside antibiotic,antibiotic inactivation
3002397,OXY-2-2,Klebsiella oxytoca,,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002188,MOX-5,Aeromonas caviae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000904,TEM-34,Haemophilus parainfluenzae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001617,OXA-69,Acinetobacter baumannii AYE,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3000879,TEM-7,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001082,SHV-24,Escherichia coli,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002762,QnrB47,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3001502,OXA-256,Enterobacter cloacae,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002795,QnrS6,Aeromonas hydrophila,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3001518,OXA-330,Acinetobacter calcoaceticus,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002053,CMY-42,Escherichia coli,cefoxitin;ceftazidime,cephalosporin,antibiotic inactivation
3002546,AAC(6')-Ib,Klebsiella pneumoniae,amikacin;kanamycin A;tobramycin,aminoglycoside antibiotic,antibiotic inactivation
3002083,CMY-70,Citrobacter braakii,,cephalosporin,antibiotic inactivation
3002350,GES-21,uncultured bacterium,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001099,SHV-41,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001577,OXA-391,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3000996,TEM-132,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002620,aadA23,Salmonella enterica subsp. enterica serovar Agona,spectinomycin;streptomycin,aminoglycoside antibiotic,antibiotic inactivation
3002360,NDM-10,Klebsiella pneumoniae subsp. pneumoniae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002778,QnrB66,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3001100,SHV-42,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001429,OXA-35,Pseudomonas aeruginosa,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001076,SHV-18,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3003026,fusH,Streptomyces lividans,fusidic acid,fusidane antibiotic,antibiotic inactivation
3001133,SHV-79,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000916,TEM-47,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000887,TEM-16,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002307,VIM-37,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001849,ACT-29,Enterobacter asburiae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002157,FOX-3,Klebsiella oxytoca,,cephalosporin,antibiotic inactivation
3002366,PER-4,Proteus vulgaris,,monobactam;carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000845,GIM-1,Pseudomonas aeruginosa,,monobactam;carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002233,IMP-42,Acinetobacter soli,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000965,TEM-102,Plasmid pWW100,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000979,TEM-116,Staphylococcus aureus,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002066,CMY-55,Escherichia coli,,cephalosporin,antibiotic inactivation
3000508,gadX,Escherichia coli str. K-12 substr. W3110,erythromycin;cloxacillin;oxacillin;norfloxacin,macrolide antibiotic;fluoroquinolone antibiotic;penicillin beta-lactam,antibiotic efflux
3001904,CTX-M-42,Escherichia coli,,cephalosporin,antibiotic inactivation
3001154,SHV-105,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002092,CMY-79,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3002067,CMY-56,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3003149,OXA-426,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002059,CMY-48,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3002753,QnrB38,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3000972,TEM-109,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3003203,TLA-2,uncultured bacterium,,monobactam;cephalosporin,antibiotic inactivation
3001071,SHV-12,Enterobacter cloacae,ceftazidime;ceftriaxone;cefalotin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001773,OXA-61,Campylobacter jejuni,oxacillin,penicillin beta-lactam,antibiotic inactivation
3002243,CARB-4,Pseudomonas aeruginosa,,penicillin beta-lactam,antibiotic inactivation
3002681,catB9,Vibrio cholerae,azidamfenicol;chloramphenicol;thiamphenicol,phenicol antibiotic,antibiotic inactivation
3000912,TEM-43,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002507,PDC-8,Pseudomonas aeruginosa,,monobactam;carbapenem;cephalosporin,antibiotic inactivation
3000326,ErmE,Saccharopolyspora erythraea NRRL 2338,erythromycin;roxithromycin;lincomycin;telithromycin;clarithromycin;clindamycin;tylosin;spiramycin;azithromycin;dirithromycin;pristinamycin IA;quinupristin;virginiamycin M1;madumycin II;griseoviridin;dalfopristin;pristinamycin IB;virginiamycin S2;pristinamycin IC;vernamycin C;patricin A;patricin B;ostreogrycin B3;oleandomycin,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic,antibiotic target alteration
3002565,AAC(6')-Iu,Acinetobacter dispersus,dibekacin;amikacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin,aminoglycoside antibiotic,antibiotic inactivation
3002375,VEB-5,Escherichia coli,,monobactam;cephalosporin,antibiotic inactivation
3003012,dfrA13,Escherichia coli,trimethoprim,diaminopyrimidine antibiotic,antibiotic target replacement
3000954,TEM-87,Proteus mirabilis,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002733,QnrB18,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002488,LRA-9,uncultured bacterium BLR9,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002282,VIM-12,Klebsiella pneumoniae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002604,aadA4,Acinetobacter baumannii,spectinomycin;streptomycin,aminoglycoside antibiotic,antibiotic inactivation
3000796,mdtF,Escherichia coli str. K-12 substr. MG1655,erythromycin;cloxacillin;oxacillin;norfloxacin,macrolide antibiotic;fluoroquinolone antibiotic;penicillin beta-lactam,antibiotic efflux
3002304,VIM-34,Klebsiella pneumoniae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001119,SHV-64,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002263,IND-7,Chryseobacterium indologenes,,carbapenem,antibiotic inactivation
3001364,SHV-182,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001045,TEM-183,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002815,clbB,Brevibacillus brevis NBRC 100599,lincomycin;clindamycin;azidamfenicol;chloramphenicol;thiamphenicol;virginiamycin M1;tiamulin;madumycin II;griseoviridin;dalfopristin,lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic,antibiotic target alteration
3002828,srmB,Streptomyces ambofaciens,spiramycin,macrolide antibiotic,antibiotic target protection
3000198,FosX,Listeria monocytogenes,fosfomycin,phosphonic acid antibiotic,antibiotic inactivation
3001972,CTX-M-112,Shigella sp. SH257,,cephalosporin,antibiotic inactivation
3001912,CTX-M-50,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3001057,TEM-198,Klebsiella pneumoniae,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002853,arr-8,Klebsiella oxytoca,rifampin;rifaximin;rifabutin;rifapentine,rifamycin antibiotic,antibiotic inactivation
3002883,rgt1438,Streptomyces sp. WAC 01438,rifampin;rifaximin;rifabutin;rifapentine,rifamycin antibiotic,antibiotic inactivation
3002383,SME-5,Serratia marcescens,,carbapenem,antibiotic inactivation
3002020,CMY-9,Escherichia coli,,cephalosporin,antibiotic inactivation
3002634,APH(2'')-Ie,Enterococcus casseliflavus,amikacin;kanamycin A;tobramycin;gentamicin A;gentamicin,aminoglycoside antibiotic,antibiotic inactivation
3002724,QnrB10,Citrobacter freundii,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002595,AAC(6')-IIb,Pseudomonas fluorescens,dibekacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin;gentamicin,aminoglycoside antibiotic,antibiotic inactivation
3003103,cphA7,Aeromonas jandaei,,carbapenem,antibiotic inactivation
3002203,IMP-12,Pseudomonas putida,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001692,OXA-229,Acinetobacter bereziniae,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001646,OXA-98,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001422,OXA-27,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001144,SHV-92,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002612,aadA12,Escherichia coli,spectinomycin;streptomycin,aminoglycoside antibiotic,antibiotic inactivation
3002676,catB3,Enterobacter cloacae,azidamfenicol;chloramphenicol;thiamphenicol,phenicol antibiotic,antibiotic inactivation
3002432,OKP-A-15,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000830,cpxA,Escherichia coli O157:H7 str. Sakai,neomycin;amikacin;kanamycin A;tobramycin;novobiocin;gentamicin,aminoglycoside antibiotic;aminocoumarin antibiotic,antibiotic efflux
3000777,adeF,Acinetobacter baumannii AYE,tetracycline,fluoroquinolone antibiotic;tetracycline antibiotic,antibiotic efflux
3000815,mgrA,Staphylococcus aureus subsp. aureus N315,methicillin;ciprofloxacin;acriflavine;tetracycline;daptomycin;moxifloxacin;cefotaxime;norfloxacin;sparfloxacin;moenomycin A1,fluoroquinolone antibiotic;cephalosporin;penicillin beta-lactam;tetracycline antibiotic;peptide antibiotic;moenomycin antibiotic;disinfecting agents and antiseptics,antibiotic efflux
3001055,TEM-195,Acinetobacter baumannii,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002574,AAC(6')-Iaf,Pseudomonas aeruginosa,dibekacin;amikacin;sisomicin;netilmicin;tobramycin;2'-N-ethylnetilmicin;5-episisomicin,aminoglycoside antibiotic,antibiotic inactivation
3003017,dfrA21,Salmonella enterica subsp. enterica serovar Bredeney,trimethoprim,diaminopyrimidine antibiotic,antibiotic target replacement
3001300,myrA,Micromonospora griseorubida,tylosin;mycinamicin,macrolide antibiotic;lincosamide antibiotic,antibiotic target alteration
3002830,vgaALC,Staphylococcus haemolyticus,lincomycin;clindamycin;virginiamycin M1,lincosamide antibiotic;streptogramin antibiotic;streptogramin A antibiotic;pleuromutilin antibiotic,antibiotic target protection
3001677,OXA-236,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001112,SHV-56,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002318,KPC-8,Klebsiella pneumoniae,,monobactam;carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001562,OXA-376,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002912,vanN,Enterococcus faecium,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3002299,VIM-29,Escherichia coli,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000572,tet(42),Micrococcus sp. SMCC G887,tetracycline,tetracycline antibiotic,antibiotic efflux
3003196,tet(45),Bhargavaea cecembensis,tetracycline,tetracycline antibiotic,antibiotic efflux
3000173,tet(E),Escherichia coli,tetracycline,tetracycline antibiotic,antibiotic efflux
3003060,tsnR,Streptomyces laurentii,thiostrepton,peptide antibiotic,antibiotic target alteration
3002050,CMY-39,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3002287,VIM-17,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3003209,fosA5,Escherichia coli,ciprofloxacin;gentamicin,fluoroquinolone antibiotic;aminoglycoside antibiotic;phosphonic acid antibiotic,antibiotic inactivation
3002690,Streptomyces lividans cmlR,Streptomyces lividans 1326,chloramphenicol,phenicol antibiotic,antibiotic efflux
3002921,vanR gene in vanB cluster,Enterococcus faecalis,vancomycin,glycopeptide antibiotic,antibiotic target alteration
3002224,IMP-33,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002210,IMP-19,Aeromonas caviae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000944,TEM-78,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002849,arr-4,Pseudomonas aeruginosa,rifampin;rifaximin;rifabutin;rifapentine,rifamycin antibiotic,antibiotic inactivation
3003002,CfxA2,Prevotella intermedia,,cephalosporin,antibiotic inactivation
3001886,CTX-M-24,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3002036,CMY-25,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3003659,IMP-51,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002711,QnrA5,Shewanella algae,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3002150,DHA-19,Morganella morganii,,cephalosporin,antibiotic inactivation
3002343,GES-14,Acinetobacter baumannii,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000839,arlS,Staphylococcus aureus subsp. aureus NCTC 8325,ciprofloxacin;acriflavine;norfloxacin,fluoroquinolone antibiotic;disinfecting agents and antiseptics,antibiotic efflux
3000549,adeS,Acinetobacter baumannii,tigecycline;tetracycline,glycylcycline;tetracycline antibiotic,antibiotic efflux
3002514,OCH-1,Brucella anthropi,,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001778,OXA-232,Escherichia coli,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001407,OXA-12,Aeromonas sobria,oxacillin,penicillin beta-lactam,antibiotic inactivation
3001535,OXA-348,Acinetobacter calcoaceticus,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001141,SHV-89,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001881,CTX-M-19,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3001480,OXA-195,Acinetobacter nosocomialis,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001814,OXA-199,Shewanella xiamenensis,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001900,CTX-M-38,Klebsiella pneumoniae,,cephalosporin,antibiotic inactivation
3000983,TEM-121,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001116,SHV-61,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001919,CTX-M-58,Escherichia coli,,cephalosporin,antibiotic inactivation
3001918,CTX-M-56,Escherichia coli,,cephalosporin,antibiotic inactivation
3001002,TEM-138,Salmonella enterica,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002493,SRT-1,Serratia marcescens,,cephalosporin,antibiotic inactivation
3002477,LEN-14,Enterobacter cloacae,,penicillin beta-lactam,antibiotic inactivation
3002516,OCH-3,Brucella anthropi,,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001150,SHV-101,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002403,OXY-2-8,Klebsiella oxytoca,,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3003179,VIM-43,Pseudomonas aeruginosa,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002655,APH(4)-Ia,Escherichia coli,hygromycin B,aminoglycoside antibiotic,antibiotic inactivation
3000423,FomA,Streptomyces wedmorensis,fosfomycin,phosphonic acid antibiotic,antibiotic inactivation
3002341,GES-12,Acinetobacter baumannii,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002117,CMY-105,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3001093,SHV-35,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001383,TEM-206,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001416,OXA-21,Acinetobacter baumannii,oxacillin,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001168,SHV-121,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3003250,bcrC,Bacillus licheniformis,bacitracin;bacitracin A;bacitracin B;bacitracin F,peptide antibiotic,antibiotic target alteration
3002459,LEN-9,Klebsiella variicola,,penicillin beta-lactam,antibiotic inactivation
3002665,npmA,Escherichia coli,neomycin;amikacin;ribostamycin;gentamicin A;gentamicin,aminoglycoside antibiotic,antibiotic target alteration
3002429,OKP-A-12,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000959,TEM-92,Proteus mirabilis,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002112,CMY-100,Citrobacter freundii,,cephalosporin,antibiotic inactivation
3002332,GES-3,Klebsiella pneumoniae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002168,MIR-2,Enterobacter cloacae,,monobactam;cephalosporin,antibiotic inactivation
3001948,CTX-M-88,Escherichia coli,,cephalosporin,antibiotic inactivation
3001644,OXA-113,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3002436,OKP-B-3,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3000826,sdiA,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,tigecycline;tetracycline;rifampin;chloramphenicol;ampicillin;cefalotin;triclosan,fluoroquinolone antibiotic;cephalosporin;glycylcycline;penicillin beta-lactam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;disinfecting agents and antiseptics,antibiotic efflux
3003160,OXA-422,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001472,OXA-178,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3003094,imiH,Aeromonas hydrophila,,carbapenem,antibiotic inactivation
3002468,LEN-21,Klebsiella pneumoniae,,penicillin beta-lactam,antibiotic inactivation
3002797,QnrS8,Klebsiella pneumoniae,ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin,fluoroquinolone antibiotic,antibiotic target protection
3001784,OXA-181,Klebsiella pneumoniae,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001840,ACT-19,Enterobacter cloacae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001181,SHV-137,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001623,OXA-83,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
3001850,ACT-30,Enterobacter cloacae,,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001191,SHV-152,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3001404,OXA-9,Klebsiella pneumoniae,oxacillin,penicillin beta-lactam,antibiotic inactivation
3001347,SHV-164,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002695,cmlA5,uncultured bacterium,chloramphenicol,phenicol antibiotic,antibiotic efflux
3001985,CTX-M-126,Escherichia coli,,cephalosporin,antibiotic inactivation
3001024,TEM-158,Escherichia coli,ceftazidime;ampicillin,monobactam;cephalosporin;penicillin beta-lactam,antibiotic inactivation
3002442,OKP-B-9,Klebsiella pneumoniae,,cephalosporin;penicillin beta-lactam,antibiotic inactivation
3004605,ermZ,Streptomyces ambofaciens,spiramycin,macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic,antibiotic target alteration
3002654,APH(3')-VIIa,Campylobacter jejuni,neomycin;kanamycin A,aminoglycoside antibiotic,antibiotic inactivation
3002662,APH(9)-Ia,Legionella pneumophila 130b,spectinomycin,aminoglycoside antibiotic,antibiotic inactivation
3001455,OXA-150,Acinetobacter baumannii,oxacillin,carbapenem;penicillin beta-lactam,antibiotic inactivation
