drug_class_id,drug_class_name,description
J01MA,Fluoroquinolones,"Flumequine is classified in J01MB. Alalevonadifloxacin is classified in J01MA24 together with levonadifloxacin."
J01MB,Other quinolones,"Preparations which in addition contain a urine acidifier such as vitamin C calcium- or ammonium chloride are classified at the plain 5th levels."
J01RA,Combinations of antibacterials,"Combinations of urinary antiseptics and antiinfectives are classified in J01RA02."
J01XA,Glycopeptide antibacterials,"This group comprises glycopeptide antibacterials inhibiting the cell wall synthesis of gram positive bacteria. Lipoglycopeptide antibacterials are also included in this group. Teicoplanin and intravenous preparations of vancomycin are classified in this group. Oral formulations containing vancomycin are classified in A07A."
J01XB,Polymyxins,"This group comprises polymyxin antibacterials acting on the bacterial cytoplasm membrane. Oral formulations containing colistin are classified in A07A."
J01XC,Steroid antibacterials,"This group comprises steroid antibacterials inhibiting the binding of bacterial transfer-RNA and the 50-S part of the ribosomes."
J01XD,Imidazole derivatives,"This group comprises imidazole antibacterials acting through active metabolites in anaerobic bacteria."
J01XE,Nitrofuran derivatives,"Preparations which in addition contain a urine acidifier such as vitamin C calcium- or ammonium chloride are classified at the plain 5th levels."
J01XX,Other antibacterials,"Preparations which in addition contain a urine acidifier such as vitamin C calcium- or ammonium chloride are classified at the plain 5th levels."
J04,Antimycobacterials,"This group comprises drugs mainly used for the treatment of tuberculosis or lepra. However, streptomycins are classified in J01G - Aminoglycoside antibacterials. Streptomycin in combination with antimycobacterials are classified in J04AM."
J04A,Drugs for treatment of tuberculosis,""
J04AA,Aminosalicylic acid and derivatives,"Drugs used in the treatment of tuberculosis derived from aminosalicylic acid, typically second-line agents."
J04AB,Antibiotics,"Antibiotics specifically indicated for the treatment of tuberculosis, excluding rifamycins classified elsewhere."
J04AC,Hydrazides,"Tuberculosis drugs based on hydrazide chemical structures, including isoniazid and related agents."
J04AD,Thiocarbamide derivatives,"Thiocarbamide-derived tuberculosis medications used as second-line therapy."
J04AK,Other drugs for treatment of tuberculosis,"Antituberculosis drugs not fitting into other chemical subgroups, often used in resistant cases."
J04AM,Combinations of drugs for treatment of tuberculosis,"Fixed-dose combination products containing multiple antituberculosis agents to improve adherence and reduce resistance."
J04B,Drugs for treatment of lepra,""
J04BA,Drugs for treatment of lepra,"Thalidomide, which is also used for treatment of lepra, is classified in L04AX."
L,Antineoplastic and immunomodulating agents,"This group comprises preparations used in the treatment of neoplastic diseases, and immunomodulating agents."
L01,Antineoplastic agents,"Combination products are classified in L01XY - Combinations of antineoplastic agents, except for combinations of monoclonal antibodies or antibody drug conjugates which are classified in L01FY."
L01D,Cytotoxic antibiotics and related substances,"Antineoplastic agents derived from or related to antibiotic structures. Used in cancer therapy."
L01DC,Other cytotoxic antibiotics,"Includes mitomycin (also used in glaucoma surgery)."
P,Antiparasitic Products, Insecticides and Repellents,"Products used for treatment and prevention of parasitic infestations and for repelling insects."
P01,Antiprotozoals,"Agents used in the treatment of protozoal infections."
P01A,Agents Against Amoebiasis and Other Protozoal Diseases,"Agents used to treat amoebiasis and other infections caused by protozoa."
P01B,Antimalarials,"Drugs used in the prevention and treatment of malaria."
P01BA,Aminoquinolines,"Antimalarial agents belonging to the aminoquinoline class, used to treat and prevent malaria."
P01BB,Biguanides,"Antimalarial compounds from the biguanide class, used to inhibit parasite development."
P01BC,Methanolquinolines,"Antimalarial drugs derived from methanolquinoline structures, used for treatment of malaria infections."
P01BD,Diaminopyrimidines,"Antimalarial agents that inhibit folate metabolism in parasites through diaminopyrimidine activity."
P01BE,Artemisinin and Derivatives, Plain,"Artemisinin-based antimalarial agents used alone for treatment of malaria."
P01BF,Artemisinin and Derivatives, Combinations,"Artemisinin-based antimalarial agents used in combination therapies to improve efficacy and reduce resistance."
P01BX,Other Antimalarials,"Miscellaneous antimalarial agents not classified in other groups."
P01C,Agents Against Leishmaniasis and Trypanosomiasis,"Agents used to treat parasitic infections caused by leishmania and trypanosoma species."
QJ,Antiinfectives for systemic use,"This group comprises drugs used to treat infections affecting the whole body."
QJ01,Antibacterials for systemic use,"This group comprises antibacterial drugs used for systemic treatment of infections."
QJ01A,Tetracyclines,"This group comprises tetracycline antibacterials inhibiting bacterial protein synthesis via the 30S ribosomal subunit."
QJ01B,Amphenicols,"This group comprises amphenicol antibacterials inhibiting bacterial protein synthesis."
QJ01C,Beta-lactam antibacterials, penicillins,"This group comprises penicillin beta-lactam antibacterials inhibiting bacterial cell wall synthesis."
QJ01D,Other beta-lactam antibacterials,"This group comprises cephalosporins, monobactams, carbapenems, and other beta-lactams not classified as penicillins."
QJ01E,Sulfonamides and trimethoprim,"This group comprises sulfonamide antibacterials and their combinations with trimethoprim."
QJ01F,Macrolides, lincosamides, streptogramins,"This group comprises macrolide, lincosamide, and streptogramin antibacterials."
QJ01G,Aminoglycoside antibacterials,"This group comprises aminoglycoside antibacterials."
QJ01M,Quinolone and quinoxaline antibacterials,"This group comprises quinolone and quinoxaline antibacterials."
QJ01R,Combinations of antibacterials,"This group comprises combinations of antibacterial drugs."
QJ01X,Other antibacterials,"This group comprises other antibacterials not classified in previous groups."
QJ01XQ,Pleuromutilin,"This group comprises antibiotics that are used in veterinary medicine, particularly for pigs and poultry, to treat and control infectious diseases"
QJ51,Antibacterials for Intramammary Use,"Antibacterial agents administered into the mammary gland to treat mastitis in veterinary medicine."
QJ51A,Tetracyclines for Intramammary Use,"Intramammary formulations of tetracycline antibiotics used to treat bacterial inflammation in the udder."
QJ51B,Amphenicols for Intramammary Use,"Intramammary chloramphenicol-related antibiotics for treating bovine mastitis."
QJ51C,Beta-lactam Antibacterials, Penicillins, for Intramammary Use,"Intramammary penicillin antibiotics used for udder infections in dairy animals."
QJ51D,Other Beta-lactam Antibacterials for Intramammary Use,"Non-penicillin beta-lactam antibiotics administered intramammarily to treat mastitis."
QJ51E,Sulfonamides and Trimethoprim for Intramammary Use,"Intramammary sulfonamide-based antimicrobials used for bacterial udder infections."
QJ51F,Macrolides and Lincosamides for Intramammary Use,"Intramammary macrolide or lincosamide antibiotics used for mastitis therapy."
QJ51G,Aminoglycoside Antibacterials for Intramammary Use,"Intramammary aminoglycosides targeting gram-negative bacteria causing mastitis."
QJ51R,Combinations of Antibacterials for Intramammary Use,"Products containing two or more antibacterial agents administered into the udder."
QJ51X,Other Antibacterials for Intramammary Use,"Intramammary antibacterial agents not classified elsewhere within the group."
R,Respiratory system,"Inhaled antiinfectives are classified in ATC group J - Antiinfectives for systemic use."
R01,Nasal preparations,"Varenicline nasal spray used for dry eye disease is classified in S01XA."
R01A,Decongestants and other nasal preparations,"This group comprises preparations for local treatment in nasal congestion or allergic rhinitis; includes nasal drops, sprays, or inhalants. Formulations approved for eye, ear, and nose are classified in S03."
R01AA,Sympathomimetics plain, "Small amounts of antiseptics etc. are allowed at each 5th level. Combinations with antibiotics, antihistamines, ipatropium bromide etc. are classified in R01AB, while combinations with corticosteroids are classified in R01AD."
R01AB,Sympathomimetics, combinations excl. corticosteroids,"Combinations with antibiotics, antihistamines, or ipratropium bromide are classified here; includes preparations with two or more sympathomimetics. Combinations are ranked by ATC code order."
R01AC,Antiallergic agents, excl. corticosteroids,"Antihistamines, cromoglicate disodium and analogues are classified here. Combinations with corticosteroids are classified in R01AD."
R01AD,Corticosteroids,"Combinations of corticosteroids with antiinfectives, sympathomimetics, antihistamines etc. are classified in this group at separate 5th levels by using the 50-series."
R01AX,Other nasal preparations,"This group comprises antiinfectives, antiseptics, mucolytics etc. which cannot be classified in the preceding groups."
R01B,Nasal decongestants for systemic use,"This group comprises preparations for systemic use in vasomotoric or allergic rhinitis etc., excl. plain antihistamines (see R06)."
R02,Throat preparations,"ATC Level 2 therapeutic group"
R02A,Throat preparations,"ATC Level 3 pharmacological subgroup"
R02AA,Antiseptics,"See also A01AB - Antiinfectives and antiseptics for local oral treatment. At each 5th level combinations with anesthetics are allowed."
R02AB,Antibiotics,"See also A01AB - Antiinfectives and antiseptics for local oral treatment. Combinations of antibiotics and antiseptics are classified in this group."
R02AC,Anesthetics local,"This group comprises e.g. throat lozenges containing local anesthetics. Dental anesthetics for local application are classified in N01B - Anesthetics, local."
R02AX,Other throat preparations,"Combinations of benzydamine and cetylpyridinium are classified at the same 5th level as benzydamine."
S,Sensory organs,"Drug group comprising agents used for conditions of the eye, ear, or nose; multi-site formulations may be classified in S03."
S01,Ophthalmologicals,"Drugs used primarily to treat ocular conditions; includes topical and systemic preparations with clear ophthalmological indications."
S01A,Antiinfectives,"Plain and combination antiinfective preparations for ophthalmological use; combinations with corticosteroids are classified in S01CA."
S01AA,Antibiotics,"Antibiotic preparations for ophthalmological (eye) use."
S01AB,Sulfonamides,"Ophthalmic sulfonamide antiinfectives; combinations with antibiotics are classified under S01AA."
S01AD,Antivirals,"Antiviral preparations formulated for ophthalmological use."
S01AE,Fluoroquinolones,"Fluoroquinolone antibacterial preparations for ophthalmological use."
S01AX,Other antiinfectives,"Other ophthalmic antiinfective agents not classified elsewhere in S01A."
