family_id,name,description,mechanism_id
3000016,CTX-M beta-lactamase,"These enzymes were named for their greater activity against cefotaxime than other oxyimino-beta-lactam substrates (eg, ceftazidime, ceftriaxone, or cefepime). Rather than arising by mutation, they represent examples of plasmid acquisition of beta-lactamase genes normally found on the chromosome of Kluyvera species, a group of rarely pathogenic commensal organisms. These enzymes are not very closely related to TEM or SHV beta-lactamases in that they show only approximately 40% identity with these two commonly isolated beta-lactamases. Despite their name, a few are more active on ceftazidime than cefotaxime. CTX-M-15 was recently found in bacterial strains expressing NDM-1 and were responsible for resistance to aztreonam.",1004
3000017,OXA beta-lactamase,"OXA beta-lactamases were long recognized as a less common but also plasmid-mediated beta-lactamase variety that could hydrolyze oxacillin and related anti-staphylococcal penicillins. These beta-lactamases differ from the TEM and SHV enzymes in that they belong to molecular class D and functional group 2d. The OXA-type beta-lactamases confer resistance to ampicillin and cephalothin and are characterized by their high hydrolytic activity against oxacillin and cloxacillin and the fact that they are poorly inhibited by clavulanic acid. Amino acid substitutions in OXA enzymes can also give the ESBL phenotype. The OXA beta-lactamase family was originally created as a phenotypic rather than a genotypic group for a few beta-lactamases that had a specific hydrolysis profile. Therefore, there is as little as 20% sequence homology among some of the members of this family. However, recent additions to this family show some degree of homology to one or more of the existing members of the OXA beta-lactamase family. Some confer resistance predominantly to ceftazidime, but OXA-17 confers greater resistance to cefotaxime and cefepime than it does resistance to ceftazidime.",1004
3000018,IMI beta-lactamase,IMI beta-lactamases are a group of TEM-1-like beta-lactamase that are known to hydrolyze imipenem. IMI beta-lactamases are inhibited by clavulanic acid and tazobactam.,1004
3000020,IMP beta-lactamase,"Plasmid mediated IMP-type carbapenemases, of which at least 26 varieties are currently known, became established in Japan in the 1990s in enteric gram-negative organisms, Pseudomonas and Acinetobacter species. Integron-associated, sometimes within plasmids. Hydrolyses all beta-lactams except monobactams, and evades all beta-lactam inhibitors.",1004
3000036,tetracycline inactivation enzyme,"Enzymes or other gene products which hydroxylate tetracycline and other tetracycline derivatives. Hydroxylation inactivates tetracycline-like antibiotics, thus conferring resistance to these compounds.",1004
3000055,SME beta-lactamase,SME beta-lactamases are chromosome-mediated class A beta-lactamases that hydrolyze carbapenems in Serratia marcescens.,1004
3000056,PER beta-lactamase,PER beta-lactamases are plasmid-mediated extended spectrum beta-lactamases found in the Enterobacteriaceae family.,1004
3000058,MIR beta-lactamase,MIR beta-lactamases are plasmid-mediated beta-lactamases that confer resistance to oxyimino- and alpha-methoxy beta-lactams.,1004
3000059,KPC beta-lactamase,"Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases are notorious for their ability to efficiently hydrolyze carbapenems, unlike other Ambler Class A beta-lactamases. There are currently 9 variants reported worldwide. These enzymes were first isolated from Klebsiella pneumoniae strains in 2001 in the United States. Hospital outbreaks have since been reported in Greece and Israel and KPC carrying strains are now endemic to New York facilities. KPC-1 and KPC-2 have been shown to be identical and are now referred to as KPC-2.",1004
3000060,IND beta-lactamase,IND beta-lactamases are class B carbapenem-hydrolyzing beta-lactamases.,1004
3000066,GES beta-lactamase,GES beta-lactamases or Guiana extended-spectrum beta-lactamases are related to the other plasmid-located class A beta-lactamases.,1004
3000067,FOX beta-lactamase,FOX beta-lactamases are plasmid-encoded AmpC-type beta-lactamase which conferred resistance to broad-spectrum cephalosporins and cephamycins.,1004
3000068,DHA beta-lactamase,DHA beta-lactamases are plasmid-mediated AmpC β-lactamases that confer resistance to cephamycins and oxyimino-cephalosporins.,1004
3000069,CMY beta-lactamase,CMY beta-lactamases are plasmid-mediated class C beta-lactamases that encodes for resistance to cephamycins.,1004
3000071,vanS,VanS is similar to histidine protein kinases like EnvZ and acts as a response regulator by activating VanR. VanS is required for high level transcription of other van glycopeptide resistance genes.,1001
3000072,ACT beta-lactamase,"ACT beta-lactamases, also known as AmpC beta-lactamases, are cephalosporinases that cannot be inhibited by clavulanate. These enzymes are encoded by genes located on the chromosome and can be induced by the presence of beta-lactam antibiotics. However recently, these genes have been found on plasmids and expressed at high constitutive levels in Escherichia coli and Klebsiella pneumoniae.",1004
3000073,ACC beta-lactamase,ACC beta-lactamases or Ambler class C beta-lactamases are AmpC beta-lactamases. They possess an interesting resistance phenotype due to their low activity against cephamycins.,1004
3000077,vanY,"VanY is a D,D-carboxypeptidase that cleaves removes the terminal D-Ala from peptidoglycan for the addition of D-Lactate. The D-Ala-D-Lac peptidoglycan subunits have reduced binding affinity with vancomycin compared to D-Ala-D-Ala.",1001
3000083,MOX beta-lactamase,MOX beta-lactamases are plasmid-mediated AmpC-type beta-lactamases.,1004
3000089,AER beta-lactamase,AER beta-lactamases are capable of hydrolyzing arbenicillin.,1004
3000091,CARB beta-lactamase,CARB beta-lactamases are class A lactamases that can hydrolyze carbenicillin. Many of the PSE beta-lactamases have been renamed as CARB-lactamases with the notable exception of PSE-2 which is now OXA-10.,1004
3000094,OCH beta-lactamase,OCH beta-lactamases are Ambler class C chromosomal-encoded beta-lactamases in Brucella anthropi.,1004
3000095,SRT beta-lactamase,SRT beta-lactamase,1004
3000097,LEN beta-lactamase,"LEN beta-lactamases are chromosomal class A beta-lactamases that confer resistance to ampicillin, amoxicillin, carbenicillin, and ticarcillin but not to extended-spectrum beta-lactams.",1004
3000098,PDC beta-lactamase,PDC beta-lactamases are class C beta-lactamases that are found in Pseudomonas aeruginosa.,1004
3000113,vga-type ABC-F protein,"Vga-type plasmid-borne ABC-F proteins, expressed in staphylococci that confer resistance to streptogramin A antibiotics through ribosomal protection.",1003
3000116,vanZ,VanZ is a teicoplanin resistance gene that is an accessory protein. VanZ prevents the incorporation of the terminal D-Ala into peptidoglycan subunits.,1001
3000122,chloramphenicol acetyltransferase (CAT),"Inactivates chloramphenicol by addition of an acyl group. CAT is used to describe many variants of the chloramphenicol acetyltransferase gene in a range of organisms including Acinetobacter calcoaceticus, Agrobacterium tumefaciens, Alkalihalobacillus clausii, Bacillus subtilis, Campylobacter coli, Enterococcus faecalis, Enterococcus faecium, Lactococcus lactis, Listeria monocytogenes, Listonella anguillarum, Morganella morganii, Photobacterium damselae subsp. piscicida, Proteus mirabilis, Salmonella typhi, Serratia marcescens, Shigella flexneri, Staphylococcus aureus, Staphylococcus haemolyticus, Staphylococcus intermedius, Streptococcus agalactiae, Streptococcus suis and Streptomyces acrimycini.",1004
3000126,APH(3'),"A category of aminoglycoside O-phosphotransferase enzymes with modification regiospecificity based at the 3'-hydroxyl group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics, specifically kanamycin and neomycin, by the ATP-dependent phosphorylation of the 3'-hydroxyl group of the compound.",1004
3000127,APH(3''),"A category of aminoglycoside O-phosphotransferase enzymes with modification regiospecificity based at the 3''-hydroxyl group of the respective antibiotic. These enzymes are characterized by enzymatic antibiotic inactivation, specifically of streptomycin, by the ATP-dependent phosphorylation of the 3''-hydroxyl group of the compound.",1004
3000128,APH(2''),"A category of aminoglycoside O-phosphotransferase enzymes with modification regiospecificity based at the 2''-hydroxyl group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics, specifically kanamycin, tobramycin and amikacin, by the ATP-dependent phosphorylation of the 3'-hydroxyl group of the compound.",1004
3000151,APH(6),"A category of aminoglycoside O-phosphotransferase enzymes with modification regiospecificity based at the 6-hydroxyl group of the respective antibiotic. These enzymes are characterized by enzymatic antibiotic inactivation, specifically of streptomycin, by the ATP-dependent phosphorylation of the 6-hydroxyl group of the compound.",1004
3000153,APH(9),"A category of aminoglycoside O-phosphotransferase enzymes with modification regiospecificity based at the 9-hydroxyl group of the respective antibiotic. These enzymes are characterized by enzymatic antibiotic inactivation, specifically of spectinomycin, by the ATP-dependent phosphorylation of the 9-hydroxyl group of the compound.",1004
3000154,APH(7''),"A category of aminoglycoside O-phosphotransferase enzymes with modification regiospecificity based at the 7''-hydroxyl group of the respective antibiotic. These enzymes are characterized by enzymatic antibiotic inactivation, specifically of hygromycin, by the ATP-dependent phosphorylation of the 7''-hydroxyl group of the compound.",1004
3000155,APH(4),"A category of aminoglycoside O-phosphotransferase enzymes with modification regiospecificity based at the 4-hydroxyl group of the respective antibiotic. These enzymes are characterized by enzymatic antibiotic inactivation, specifically of hygromycin, by the ATP-dependent phosphorylation of the 4-hydroxyl group of the compound.",1004
3000202,Cfr 23S ribosomal RNA methyltransferase,"Cfr genes produce enzymes which catalyze the methylation of the 23S rRNA subunit at position 8 of adenine-2503. Methylation of 23S rRNA at this site confers resistance to some classes of antibiotics, including streptogramins, chloramphenicols, florfenicols, linezolids and clindamycin.",1002
3000210,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),"Rifampin resistant RNA polymerases include amino acids substitutions which disrupt the affinity of rifampin for its binding site. These mutations are frequently concentrated in the rif I region of the beta-subunit and most often involve amino acids which make direct interactions with rifampin. However, mutations which also confer resistance can occur outside this region and may involve amino acids which do not directly make contact with rifampin.",1001;1002
3000221,lincosamide nucleotidyltransferase (LNU),Resistance to the lincosamide antibiotic by ATP-dependent modification of the 3' and/or 4'-hydroxyl groups of the methylthiolincosamide sugar.,1004
3000225,ANT(6),"A category of aminoglycoside O-nucleotidyltransferase enzymes with modification regiospecificity based at the 6-hydroxyl group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics, specifically streptomycin, by transfer of an AMP group from an ATP substrate to the 6-hydroxyl group of the compound.",1004
3000228,ANT(9),"A category of aminoglycoside O-nucleotidyltransferase enzymes with modification regiospecificity based at the 9-hydroxyl group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics, specifically streptomycin, by transfer of an AMP group from an ATP substrate to the 9-hydroxyl group of the compound.",1004
3000229,ANT(4'),A category of aminoglycoside O-nucleotidyltransferase enzymes with modification regiospecificity based at the 4'-hydroxyl group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics by transfer of an AMP group from an ATP substrate to the 4-hydroxyl group of the compound.,1004
3000234,glycopeptide resistance gene cluster,Genes that when expressed confer resistance to vancomycin and teicoplanin type antibiotics.,1001
3000325,ethambutol resistant embB,embB gene encodes for an arabinosyl transferase in the arabinogalactan synthesis pathway. It is inhibited by ethambutol. Mutations within the ERDR region of embB confers resistance to ethambutol.,1001
3000249,chloramphenicol phosphotransferase,ATP-dependent kinase modifies the C-3 hydroxyl group of chloramphenicol. Source is the chloramphenicol producer Streptomyces venezuelae.,1004
3000320,macrolide esterase,Hydrolytic enzymes that cleave the macrocycle lactone ring of macrolide antibiotics.,1004
3000322,AAC(3'),A category of aminoglycoside N-acetyltransferase enzymes with modification regiospecificity based at the 3-amino group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics through acetylation of the 3-amino group of the compound.,1004
3000333,macrolide phosphotransferase (MPH),"Macrolide phosphotransferases (MPH) are enzymes encoded by macrolide phosphotransferase genes (mph genes). These enzymes phosphorylate macrolides in a GTP-dependent manner at the 2'-OH of the desosamine sugar, thereby inactivating them. Characterized MPH variants differ based on their substrate specificity.",1004
3000341,AAC(2'),A category of aminoglycoside N-acetyltransferase enzymes with modification regiospecificity based at the 2'-amino group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics through acetylation of the 2-amino group of the compound.,1004
3000345,AAC(6'),A category of aminoglycoside N-acetyltransferase enzymes with modification regiospecificity based at the 6'-amino group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics through acetylation of the 6-amino group of the compound.,1004
3000372,vanT,"VanT is a membrane bound serine racemase, converting L-serine to D-serine. It is associated with VanC, which incorporated D-serine into D-Ala-D-Ser terminal end of peptidoglycan subunits that have a decreased binding affinity with vancomycin. It was isolated from Enterococcus gallinarum.",1001
3000376,streptogramin vgb lyase,"vgb (Virginiamycin B) lyase inactivates type B streptogramin antibiotics by linearizing the streptogramin lactone ring at the ester linkage through an elimination mechanism, thus conferring resistance to these compounds.",1004
3000390,rifampin ADP-ribosyltransferase (Arr),Enzyme responsible for the ADP-ribosylative inactivation of rifampin at the 23-OH position using NAD+.,1004
3000419,quinolone resistance protein (qnr),Qnr proteins are pentapeptide repeat proteins that mimic DNA and protect the cell from the activity of fluoroquinolone antibiotics.,1003
3000443,rifampin glycosyltransferase,The enzymatic inactivation of rifampin by glycosylation at the 23-OH position.,1004
3000445,rifampin monooxygenase,Enzyme responsible for the decolorization of rifampin by monoxygenation.,1004
3000446,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),Mupirocin inhibits protein synthesis by interfering with isoleucyl-tRNA synthetase (ileS). Mutations in ileS can confer low-level mupirocin resistance.,1003
3000453,streptogramin vat acetyltransferase,"Vat (Virginiamycin acetyltransferases) enzymes catalyze the transfer of an acetyl group from acetyl-CoA to the secondary alcohol of streptogramin A compounds, thus inactivating virginiamycin-like antibiotics and conferring resistance to these compounds.",1004
3000457,aminocoumarin resistant parE,"ParE is a subunit of topoisomerase IV, which decatenates and relaxes DNA to allow access to genes for transcription or translation. Point mutations in ParE prevent anticoumarin antibiotics from inhibiting DNA synthesis, thus conferring resistance.",1001
3000465,ole glycosyltransferase,OleI and OleD are glycosyltransferases found in Streptomyces antibioticus which is a natural producer of antibiotic oleandomycin. OleI glycosylates antibiotic oleandomycin whereas OleD can glycosylate a wide variety of macrolides.,1004
3000479,aminocoumarin resistant gyrB,Point mutations in DNA gyrase subunit B (gyrB) can result in resistance to aminocoumarins. These mutations usually involve arginine residues in organisms.,1001
3000480,aminocoumarin resistant parY,"Expression of parY(R), which encodes an aminocoumarin resistant topoisomerase IV, can confer aminocoumarin resistance.",1001
3000496,vanXY,"VanXY is a protein with both D,D-carboxypeptidase and D,D-dipeptidase activity, found in Enterococcus gallinarum. It cleaves and removes the terminal D-Ala of peptidoglycan subunits for the incorporation of D-Ser by VanC. D-Ala-D-Ser has low binding affinity with vancomycin.",1001
3000560,Erm 23S ribosomal RNA methyltransferase,"Erm proteins are part of the RNA methyltransferase family and methylate A2058 (E. coli nomenclature) of the 23S ribosomal RNA conferring degrees of resistance to Macrolides, Lincosamides and Streptogramin b. This is called the MLSb phenotype.",1001
3000574,vanR,"VanR is an OmpR-family transcriptional activator in the VanSR regulatory system. When activated by VanS, it promotes cotranscription of VanA, VanH, and VanX.",1001
3000575,vanU,VanU is a transcriptional activator of vancomycin resistance genes.,1001
3000577,subclass B1 Bacillus cereus Bc beta-lactamase,Subclass B1 Bacillus cereus Bc beta-lactamases are zinc metallo-beta-lactamases that hydrolyze a large number of penicillins and cephalosporins.,1004
3000580,SPM beta-lactamase,Sao Paulo metallo-beta-lactamase (SPM-1) confers resistance to carbapenem in Pseudomonas aeruginosa.,1004
3000581,CphA beta-lactamase,CphA is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas hydrophilia. This enzyme has specific activity against carbapenems and is active as a mono-zinc protein.,1004
3000619,fluoroquinolone resistant parC,"ParC is a subunit of topoisomerase IV, which decatenates and relaxes DNA to allow access to genes for transcription or translation. Point mutations in ParC prevent fluoroquinolone antibiotics from inhibiting DNA synthesis, and confer low-level resistance. Higher-level resistance results from both gyrA and parC mutations.",1002
3000863,defensin resistant mprF,"MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface of both Gram-positive and Gram-negative bacteria. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins.",1001
3000864,fluoroquinolone resistant gyrB,Point mutations in DNA gyrase subunit B (gyrB) observed in Mycobacterium tuberculosis can result in resistance to fluoroquinolones.,1001
3000869,streptothricin acetyltransferase (SAT),AcetylCoA dependent acetyltransferase that acetylate streptothricins such as nourseothricin at position 16 (beta position of beta-lysine).,1004
3001208,methicillin resistant PBP2,"In methicillin sensitive S. aureus (MSSA), beta-lactams bind to native penicillin-binding proteins (PBPs) and disrupt synthesis of the cell membrane's peptidoglycan layer. In methicillin resistant S. aureus (MRSA), foreign PBP2a acquired by lateral gene transfer is able to perform peptidoglycan synthesis in the presence of beta-lactams.",1002
3001298,non-erm 23S ribosomal RNA methyltransferase (G748),Non-erm 23S ribosomal RNA methyltransferases modify guanosine 748 (E. coli numbering) to confer resistance to some macrolides and lincosamides.,1001
3001312,elfamycin resistant EF-Tu,Sequence variants of elongation factor Tu that confer resistance to elfamycin antibiotics.,1001
3002388,OXY beta-lactamase,"OXY beta-lactamases are chromosomal class A beta-lactamases that are found in Klebsiella oxytoca. At constitutive low levels, OXY beta-lactamases confer resistance to aminopenicillins and carboxypenicillins. At high induced levels, OXY beta-lactamases confer resistance to penicillins, cephalosporins and aztreonam.",1004
3002417,OKP beta-lactamase,OKP beta-lactamases are chromosomal class A beta-lactamase that confer resistance to penicillins and early cephalosporins in Klebsiella pneumoniae. OKP beta-lactamases can be subdivided into two groups: OKP-A and OKP-B which diverge by about 4.2%.,1004
3002706,ethambutol resistant embC,Mycobacterium tuberculosis embC mutations at codon 270 confer resistance to ethambutol.,1004
3002811,antibiotic-resistant murA transferase,murA or UDP-N-acetylglucosamine enolpyruvyl transferase catalyses the initial step in peptidoglycan biosynthesis and is inhibited by fosfomycin. Overexpression of murA through mutations confers fosfomycin resistance.,1004
3002876,ethambutol resistant aftA,Arabinofuranosyltransferases allow for the polymerization of arabinose to form arabinan. Arabinan is required for formation of mycobacterial cell walls and arabinosyltransferases are targets of the drug ethambutol. Mutations in these genes can confer resistance to ethambutol.,1001
3002915,vanK,"VanK is a member of the Fem family of enzymes that add the cross-bridge amino acids to the stem pentapeptide of cell wall precursors in Streptomyces coelicolor that confers inducible, high-level vancomycin resistance.",1001
3002916,vanV,"vanV is an accessory protein of van operons, first identified in the vanB operon. It is not required for vancomycin resistance.",1001
3002992,AQU beta-lactamase,AQU beta-lactamases are chromosomal class C beta-lactamases that confer resistance to cephalosporins.,1004
3002994,ROB beta-lactamase,ROB beta-lactamases are a class A beta-lactamases.,1004
3002996,LCR beta-lactamase,LCR beta-lactamases are a class D beta-lactamase that hydrolyze a variety of penams and some cephalosporins.,1004
3002998,CblA beta-lactamase,CblA beta-lactamases are class A beta-lactamases that confer resistance to cephalosporins.,1004
3003000,CfxA beta-lactamase,CfxA beta-lactamases are class A beta-lactamases.,1004
3003025,fusidic acid inactivation enzyme,Enzymes that confer resistance to fusidic acid by inactivation.,1004
3003065,non-erm 23S ribosomal RNA methyltransferase (A1067),Non-erm 23S ribosomal RNA methyltransferases modify adenosine 1067 to confer resistance to peptide antibiotics.,1001
3003080,daptomycin resistant pgsA,pgsA or phosphatidylglycerophosphate synthetase is an integral membrane protein involved in phospholipid biosynthesis. It is a CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase. Laboratory experiments have detected mutations conferring daptomycin resistance in Entercoccus.,1001
3003090,daptomycin-resistant beta-subunit of RNA polymerase (rpoB),"Daptomycin-resistant RNA polymerases include amino acids substitutions which alter expression of the dlt operon, which increases the cell surface positive charge. Known from S. aureus.",1001
3003091,daptomycin resistant mprF,"MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface of both Gram-positive and Gram-negative bacteria. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins. Mutations in mprF can additionally confer resistance to daptomycin in S. aureus.",1001
3003195,GIM beta-lactamase,"GIM beta-lactamase enzymes isolated from Pseudomonas aeruginosa, and found to confer broad-spectrum resistance to beta-lactam antibiotics.",1004
3003201,TLA beta-lactamase,"The TLA beta-lactamases are resistant to expanded-spectrum cephalosporins, and aztreonam but was susceptible to amikacin, cefotetan, and imipenem.",1004
3003272,daptomycin resistant cls,Cardiolipin synthetase catalyzes the formation of cardiolipin from two phosphatidylglycerol molecules. Cardiolipin is important in membrane translocation and permeabilization. Current known mutations on the enzyme confer resistance to daptomycin.,1001
3003290,daptomycin-resistant beta prime subunit of RNA polymerase (rpoC),"Daptomycin resistant RNA polymerases include amino acids substitutions which alter the binding affinity of daptomycin to the protein, resulting in antibiotic resistance.",1001
3003292,fluoroquinolone resistant gyrA,DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. GyrA point mutations confer resistance by preventing fluoroquinolone antibiotics from binding the alpha-subunit.,1002
3003313,fluoroquinolone resistant parE,"ParE is a subunit of topoisomerase IV, necessary for cell survival. Point mutations in ParE prevent fluoroquinolones from inhibiting DNA synthesis, thus conferring resistance.",1001
3003388,dapsone resistant dihydropteroate synthase folP,Dapsone inhibits bacterial synthesis of dihydrofolic acid by competing with with para-aminobenzoate for the active site of dihydropteroate synthetase. Thus acts as a competitive inhibitor of folP. Point mutation within the folP gene results in lowered affinity of dapsone for folP.,1001
3003398,undecaprenyl pyrophosphate related proteins,Undecaprenyl phosphate is a universal lipid carrier of glycan biosynthetic intermediates for carbohydrate polymers that are exported to the bacterial cell envelope. Antibiotics that targets this compound or proteins associated with the production of this compound leads to cell death.,1001
3003415,sulfonamide resistant dihydropteroate synthase folP,"Point mutations in dihydropteroate synthase folP prevent sulfonamide antibiotics from inhibiting its role in folate synthesis, thus conferring sulfonamide resistance",1001
3003416,isoniazid resistant katG,"Bifunctional enzyme with both catalase and broad-spectrum peroxidase activity. It is a catalase-peroxidases that catalyzes the activation of isoniazid. Mutations that arises within this protein cause changes that results in the inability for katG to activate antibiotics, conferring resistance.",1001
3003418,Pyrazinamide resistant pncA,pncA is a pyrazinamidase/nicotinamidase. It catalyzes the activation of pyrazinamide to pyrazinoic acid. Mutations arise within the pncA gene that caused the loss of pyrazinamidase activity is the major mechanism of antibiotic resistance.,1001
3003419,antibiotic-resistant rpsL,Ribosomal protein S12 stabilizes the highly conserved pseudoknot structure formed by 16S rRNA. Amino acid substitutions in RpsL affect the higher-order structure of 16S rRNA and confer antibiotic resistance.,1001
3003443,Antibiotic resistant tlyA,tlyA encodes for hemolysin. It Catalyzes the 2'-O-methylation at nucleotides C1409 in 16S rRNA and C1920 in 23S rRNA. Mutation that arise within this gene reduces the binding affinity of aminoglycosides to rRNA.,1001
3003447,ethambutol resistant iniA,Mutations that occurs on the iniA genes resulting in the resistance to ethambutol.,1001;10000
3003452,ethambutol resistant embA,Mutations that occurs on the embA genes resulting in the resistance to ethambutol.,1001
3003457,ethionamide resistant ethA,Mutations that occurs on the ethA genes resulting in the inability to catalyzes the oxidation of ethionamide (ETH) to the corresponding sulfoxide (the active drug).,1001
3003460,antibiotic resistant ndh,"ndh is a NADH oxidase. It participates in antibiotic resistance by diminishing NADH oxidation and consequently causes an increase in NADH concentration and depletion of NAD+. This alteration of the NADH/NAD+ ratio prevents the peroxidation reactions required for the activation of INH, as well as the displacement of the NADH-isonicotinic acyl complex from InhA enzyme binding site.",1001
3003462,antibiotic resistant kasA,kasA is a ketoacyl acyl carrier protein synthase that catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. It is involved in elongation of fatty acids intermediate in the biosynthetic pathway of mycolic acids.,1001
3003464,rifamycin-resistant arabinosyltransferase,Arabinosyl transferases allow for the polymerization of arabinose to form arabinan. Arabanan is required for formation of mycobacterial cell walls and arabinosyltransferases are targets of the drug ethambutol. Mutations in these genes can confer resistance to rifampicin.,1001
3003466,antibiotic resistant gidB,"GidB is a m7G methyltransferase specific for 16S rRNA. Mutations within the gidB gene causes changes in the structure or 16s rRNA, leading to resistance to aminoglycosides.",1001
3003555,SHW beta-lactamase,This family of sublcass B1 beta-lactamases were discovered in species of the Shewanella genus.,1004
3003581,Acinetobacter mutant Lpx gene conferring resistance to colistin,These genes are involved in the biosynthesis of lipid A in Gram-negative bacteria and mutations to this gene may cause resistance to antimicrobial peptides that target the outer membrane. Mutation by absence or insertion of ISAba11 sequence is a known cause of resistance in Acinetobacter baumannii▿.,1001
3003666,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,Point mutations in the 16S rRNA of bacteria can confer resistance to aminoglycosides.,1001
3003667,16s rRNA with mutation conferring resistance to peptide antibiotics,Point mutations in the 16S rRNA of bacteria can confer resistance to peptide antibiotics.,1001
3003669,16S rRNA with mutation conferring resistance to tetracycline derivatives,Point mutations in the bacterial 16S rRNA region shown clinically to confer resistance to tetracycline and tetracycline derivatives (polyketide antibiotics).,1001
