gene_id,aro_accession,name,family_id,description,mechanism_id,DNA_accession,RNA_accession
3000386,ARO:3000386,MexAB-OprM,10004,"MexAB-OprM is a multidrug efflux protein expressed in the Gram-negative Pseudomonas aeruginosa. MexA is the membrane fusion protein; MexB is the inner membrane transporter; and OprM is the outer membrane channel. MexAB-OprM is associated with resistance to fluoroquinolones, chloramphenicol, erythromycin, azithromycin, novobiocin, and certain β-lactams and lastly over-expression is linked to colistin resistance.",10000,N/A,N/A
3000787,ARO:3000787,MdtABC-TolC,10004,"MdtABC-TolC is a multidrug efflux system in Gram-negative bacteria, including E. coli and Salmonella. MdtA is a membrane fusion protein; TolC is the outer membrane channel; MdtBC form a drug transporter. In the absence of MdtB, the MdtAC-TolC has narrower drug specificity, leading to the loss of novobiocin resistance, for example.",10000,N/A,N/A
3000788,ARO:3000788,MdtEF-TolC,10004,"MdtEF-TolC is a multidrug efflux complex in Gram-negative bacteria, including E. coli. MdtE is the membrane fusion protein, MdtF is the inner membrane transporter, while TolC is the outer membrane channel.",10000,N/A,N/A
3002670,ARO:3002670,cat,3000122,"cat is used to describe many variants of the chloramphenicol acetyltransferase gene in a range of organisms including Acinetobacter calcoaceticus, Agrobacterium tumefaciens, Alkalihalobacillus clausii, Bacillus subtilis, Campylobacter coli, Enterococcus faecalis, Enterococcus faecium, Lactococcus lactis, Listeria monocytogenes, Listonella anguillarum Morganella morganii, Photobacterium damselae subsp. piscicida, Proteus mirabilis, Salmonella typhi, Serratia marcescens, Shigella flexneri, Staphylococcus aureus, Staphylococcus haemolyticus, Staphylococcus intermedius, Streptococcus agalactiae, Streptococcus suis and Streptomyces acrimycini.",1004,N/A,N/A
3002682,ARO:3002682,catD,3000122,catD is a chromosome and transposon-encoded variant of the cat gene found in Clostridioides difficile.,1004,N/A,N/A
3002917,ARO:3002917,glycopeptide resistance gene cluster VanN,3000234,"Homologous to vanC, contains a D-Ala-D-Ser ligase. The plasmid-located vanM gene cluster is inducible and confers low resistance to vancomycin. vanN organisms remain susceptible to teicoplanin. Gene orientation: N(XY)TRS.",1001,N/A,N/A
3002918,ARO:3002918,glycopeptide resistance gene cluster VanO,3000234,"Homologous to vanA, contains a D-Ala-D-Lac ligase. The chromosome-located vanO gene cluster is inducible. Not much is known about the biochemistry about the vanO gene cluster. Gene orientation: orf1 RS orf2 HOX.",1001,N/A,N/A
3004082,ARO:3004082,AcrAD-TolC,10004,"AcrAD-TolC efflux pump system in E. coli from the resistance-nodulation-division family, was shown to participate in the efflux of aminoglycosides.",10000,N/A,N/A
3004083,ARO:3004083,AcrEF-TolC confers resistance to ciprofloxacin,10004,AcrEF-TolC efflux pump system of E. coli confers resistance to fluoroquinolones (ciprofloxacin).,1004,N/A,N/A
3004101,ARO:3004101,MdtNOP,10002,"MdtNOP is a MFS efflux pump protein found in E. coli. The deletion of mdtP from strain W3110 resulted in increased susceptibility to acriflavin, puromycin, and tetraphenylarsonium chloride. An E. coli mdtN null mutant is more sensitive to sulfur drugs than wild type.",10000,N/A,N/A
3007187,ARO:3007187,glycopeptide resistance gene cluster vanP,3000234,This cluster confers resistance to both vancomycin and teicoplanin by allowing restructuring of peptidoglycan precursors to end in D-Ala-D-Lac. Resistance is acquired after multiple treatments with sub-minimum inhibitory concentrations of vancomycin. Gene orientation: vanHPXRS.,1001,N/A,N/A
3007434,ARO:3007434,almEFG,3007428,The almEFG operon is responsible for glycylation of lipid A as a mechanism of colistin resistance in Vibrio cholerae. Its mechanism involves transfer of a glycyl molecule to the carrier protein almF by almE followed by glycylation of lipid A by almG.,1001,N/A,N/A
3000005,ARO:3000005,vanD,3002906;3000234,"VanD is a D-Ala-D-Ala ligase homolog similar to VanA, and can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance.",1001,gb|AY082011.1|+|5901-6932|vanD [Enterococcus faecium],gb|AAM09849.1|+|vanD [Enterococcus faecium]
3000010,ARO:3000010,vanA,3002906;3000234,"VanA is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with both vancomycin and teicoplanin resistance.",1004,gb|M97297.1|+|6979-8010|vanA [Enterococcus faecium],gb|AAA65956.1|+|vanA [Enterococcus faecium]
3000013,ARO:3000013,vanB,3002906;3000234,"VanB is a D-Ala-D-Ala ligase homolog similar to VanA, and can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with vancomycin resistance, but not teicoplanin resistance.",1001,gb|KF823969.1|+|5111-6139|vanB [Enterococcus faecium],gb|AHH83938.1|+|vanB [Enterococcus faecium]
3000024,ARO:3000024,patA,10001,PatA is an ABC transporter of Streptococcus pneumoniae that interacts with PatB to confer fluoroquinolone resistance.,1001,gb|AE005672.3|-|1983116-1984810|patA [Streptococcus pneumoniae TIGR4],gb|AAK76137.1|+|patA [Streptococcus pneumoniae TIGR4]
3000025,ARO:3000025,patB,10001,PatB is an ABC transporter of Streptococcus pneumoniae that interacts with PatA to confer fluoroquinolone resistance..,10000,gb|AE005672.3|-|1980558-1982324|patB [Streptococcus pneumoniae TIGR4],gb|AAK76136.1|+|patB [Streptococcus pneumoniae TIGR4]
3000026,ARO:3000026,mepA,3000112,"MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance, while it has also been shown to decrease tigecycline susceptibility.",10000,gb|AY661734.1|+|840-2195|mepA [Staphylococcus aureus],gb|AAU95768.1|+|mepA [Staphylococcus aureus]
3000027,ARO:3000027,emrA,10002,EmrAB-TolC is a multidrug efflux system found in E. coli. EmrB is the electrochemical-gradient powered transporter; EmrA is the linker; and TolC is the outer membrane channel. It confers resistance to nalidixic acid and thiolactomycin.,10000,gb|AP009048.1|+|2810083-2811255|emrA [Escherichia coli str. K-12 substr. W3110],gb|BAA16547.1|+|emrA [Escherichia coli str. K-12 substr. W3110]
3000074,ARO:3000074,emrB,10002,"emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP), nalidixic acid, and thioloactomycin.",10000,gb|U00096.1|+|2812616-2814154|emrB [Escherichia coli str. K-12 substr. MG1655],gb|AAC75733.1|+|emrB [Escherichia coli str. K-12 substr. MG1655]
3000090,ARO:3000090,Bla1,3004229,"Bla1 is a chromosomal-encoded beta-lactamase, found in Bacillus anthracis, which hydrolyzes penicillins.",1004,gb|AY453161.1|+|501-1430|Bla1 [Bacillus anthracis],gb|AAR20595.1|+|Bla1 [Bacillus anthracis]
3000118,ARO:3000118,vgaB,3000113,Vga(B) is an ABC-F protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.,1003,gb|U82085.2|+|629-2287|vgaB [Staphylococcus aureus],gb|AAB95639.1|+|vgaB [Staphylococcus aureus]
3000124,ARO:3000124,mecI,3001208,mecI acts as a repressor of transcription of the mecA/mecR1/mecI operon.,1002,gb|BA000018.3|+|48894-49265|mecI [Staphylococcus aureus subsp. aureus N315],gb|BAB41258.1|+|mecI [Staphylococcus aureus subsp. aureus N315]
3000149,ARO:3000149,FosA,3000133,"An enzyme that confers resistance to fosfomycin in Serratia marcescens by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule. In Pseudomonas aeruginosa, FosA catalyzes the conjugation of glutathione to carbon-1 of fosfomycin, rendering it ineffective as an antibacterial drug.",1004,gb|AE004091.2|+|1221691-1222098|FosA [Pseudomonas aeruginosa PAO1],gb|AAG04518.1|+|FosA [Pseudomonas aeruginosa PAO1]
3000160,ARO:3000160,blaI,3004197,blaI acts as a repressor of transcription of the blaZ/blaR1/blaI operon.,1004,N/A,N/A
3000165,ARO:3000165,tet(A),10002,TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.,10000,gb|AF534183.1|+|2971-4245|tet(A) [Shigella sonnei],gb|AAN06707.1|+|tet(A) [Shigella sonnei]
3000166,ARO:3000166,tet(B),10002,"Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline, doxycycline, and minocycline, but not tigecycline.",10000,gb|AB089595.1|+|1-1206|tet(B) [Gram-negative bacterium TC71],gb|BAC67143.1|+|tet(B) [Gram-negative bacterium TC71]
3000167,ARO:3000167,tet(C),10002,Tet(C) is a tetracycline efflux pump found in many species of Gram-negative bacteria. It is typically found in plasmid DNA.,10000,gb|AY043299.1|-|3985-5175|tet(C) [Aeromonas salmonicida],gb|AAK97755.1|+|tet(C) [Aeromonas salmonicida]
3000168,ARO:3000168,tet(D),10002,TetD is a tetracycline efflux pump found exclusively in Gram-negative bacteria.,10000,gb|AF467077.1|+|164-1348|tet(D) [Shigella flexneri Y],gb|AAL75563.1|+|tet(D) [Shigella flexneri Y]
3000172,ARO:3000172,FosB,3000133,"A thiol transferase that leads to the resistance of fosfomycin. Contrasting FosA, FosB is dependent on the cofactor Magnesium (II) and uses either bacillithiol or  L-cysteine to open up the epoxide ring of fosfomycin.",1004,gb|AE016877.1|+|1972252-1972668|FosB [Bacillus cereus ATCC 14579],gb|AAP08996.1|+|FosB [Bacillus cereus ATCC 14579]
3000173,ARO:3000173,tet(E),10002,"TetE is a tetracycline efflux pump found in many Gram-negative bacteria, especially those in water environments. The gene is found on large plasmids.",10000,gb|L06940.1|+|1-1218|tet(E) [Escherichia coli],gb|AAA71915.1|+|tet(E) [Escherichia coli]
3000174,ARO:3000174,tet(G),10002,"TetG is a tetracycline efflux protein found in Gram-negative bacteria. The encoding gene is found in both chromosomal and plasmid DNA where it is frequently linked to the floR, sul1, and cmlA9 genes which encode proteins that can confer florfenicol/chloramphenicol, sulfamethoxazole, and chloramphenicol resistance, respectively.",10000,gb|AF133139.1|+|1-1176|tet(G) [Pseudomonas sp.],gb|AAD25538.1|+|tet(G) [Pseudomonas sp.]
3000175,ARO:3000175,tet(H),10002,"TetH is a tetracycline efflux protein expressed in Gram-negative bacteria (Actinobacillus, Acinetobacter, Gallibacterium, Histophilus, Mannheimia, Moraxella, Pasteurella, and Psychrobacter). Its gene is linked to the resistance genes sul2, and strA, which confer resistance to sulfamethoxazole and streptomycin, respectively.",10000,gb|Y15510.1|+|1-1203|tet(H) [Pasteurella multocida],gb|CAA75663.1|+|tet(H) [Pasteurella multocida]
3000177,ARO:3000177,tet(J),10002,"TetJ is a tetracycline efflux protein expressed in Gram-negative bacteria (Escherichia, Morganella, and Proteus).",10000,gb|AF038993.1|+|1-1197|tet(J) [Proteus mirabilis],gb|AAD12753.1|+|tet(J) [Proteus mirabilis]
3000178,ARO:3000178,tet(K),10002,"TetK is a tetracycline efflux protein found in both Gram-negative (Haemophilus and Gallibacterium) and Gram-positive (many species, including mycobacteria) bacteria.",10000,gb|S67449.1|+|1-1380|tet(K) [Staphylococcus aureus],gb|AAB28795.1|+|tet(K) [Staphylococcus aureus]
3000179,ARO:3000179,tet(L),10002,TetL is a tetracycline efflux protein found in many species of Gram-negative and Gram-positive bacteria.,10000,gb|M11036.1|+|1-1377|tet(L) [Geobacillus stearothermophilus],gb|AAA22851.1|+|tet(L) [Geobacillus stearothermophilus]
3000180,ARO:3000180,tetA(P),10002,"tetB(46) is a subunit of tetAB(46), a heterodimeric ABC transporter, that is required for conferring tetracycline resistance in Streptococcus australis isolated from the oral cavity.",10000,gb|L20800.1|+|1063-2325|tetA(P) [Clostridium perfringens],gb|AAA20116.1|+|tetA(P) [Clostridium perfringens]
3000181,ARO:3000181,tet(V),10002,TetV is a tetracycline efflux protein that has been found in Mycolicibacterium smegmatis and Mycolicibacterium fortuitum.,1003,gb|AF030344.1|-|462-1721|tet(V) [Mycolicibacterium smegmatis MC2 155],gb|AAB84282.1|+|tet(V) [Mycolicibacterium smegmatis MC2 155]
3000182,ARO:3000182,tet(Y),10002,TetY is a tetracycline efflux pump found in Gram-negative bacteria (Aeromonas and Escherichia). It is associated with plasmid DNA.,1004,gb|AF070999.1|+|1680-2855|tet(Y) [IncQ plasmid pIE1120],gb|AAC72341.1|+|tet(Y) [IncQ plasmid pIE1120]
3000183,ARO:3000183,tet(Z),10002,TetZ is a tetracycline efflux protein found in Gram-positive bacteria (Corynebacterium and Lactobacillus). It is associated with plasmid DNA.,10000,gb|AF121000.1|-|11880-13034|tet(Z) [Corynebacterium glutamicum],gb|AAD25063.1|+|tet(Z) [Corynebacterium glutamicum]
3000186,ARO:3000186,tet(M),2,Tet(M) is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.,10000,gb|AB039845.1|+|26-1945|tet(M) [Erysipelothrix rhusiopathiae],gb|BAB82500.1|+|tet(M) [Erysipelothrix rhusiopathiae]
3000190,ARO:3000190,tet(O),2,Tet(O) is a ribosomal protection protein. It is associated with conjugative plasmids.,1003,gb|M18896.2|+|207-2126|tet(O) [Campylobacter jejuni],gb|AAA23033.2|+|tet(O) [Campylobacter jejuni]
3000191,ARO:3000191,tet(Q),2,Tet(Q) is a ribosomal protection protein. Its gene is associated with a conjugative transposon and has been found in both Gram-positive and Gram-negative bacteria.,1003,gb|Z21523.1|+|1-1974|tet(Q) [Bacteroides fragilis],gb|CAA79727.1|+|tet(Q) [Bacteroides fragilis]
3000192,ARO:3000192,tet(S),2,Tet(S) is a ribosomal protection protein found in Gram-positive and Gram-negative strains. It is similar to tet(M) and tet(O).,1003,gb|L09756.1|+|1-1926|tet(S) [Listeria monocytogenes],gb|AAA25293.1|+|tet(S) [Listeria monocytogenes]
3000193,ARO:3000193,tet(T),2,Tet(T) is a ribosomal protection protein of streptococci. It is similar to Tet(Q).,1003,gb|L42544.1|+|1-1956|tet(T) [Streptococcus pyogenes],gb|AAF01499.1|+|tet(T) [Streptococcus pyogenes]
3000194,ARO:3000194,tet(W),2,Tet(W) is a ribosomal protection protein. It is associated with both conjugative and non conjugative DNA and has been found strains of Clostridioides difficile.,10000,gb|AJ222769.3|+|3687-5606|tet(W) [Butyrivibrio fibrisolvens],gb|CAA10975.1|+|tet(W) [Butyrivibrio fibrisolvens]
3000195,ARO:3000195,tetB(P),2,TetR is the repressor of the tetracycline resistance element; its N-terminal region forms a helix-turn-helix structure and binds DNA. Binding of tetracycline to TetR reduces the repressor affinity for the tetracycline resistance gene (tetA) promoter operator sites. Mutations arise within tetR results in lower affinity for tetracyclin.,10000,gb|L20800.1|+|2309-4267|tetB(P) [Clostridium perfringens],gb|AAA20117.1|+|tetB(P) [Clostridium perfringens]
3000196,ARO:3000196,tet(32),2,"Tet(32) is a tetracycline resistance gene similar to Tet(O), and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.",10000,gb|EU722333.1|+|1933-3852|tet(32) [Escherichia coli],gb|ACH87088.1|+|tet(32) [Escherichia coli]
3000197,ARO:3000197,tet(36),2,"Tet(36) is a tetracycline resistance gene found in Bacteroides similar to Tet(Q), and binds to the ribosome to confer antibiotic resistance as a ribosomal protection protein.",10000,gb|AJ514254.1|+|1-1923|tet(36) [Bacteroides coprosuis DSM 18011],gb|CAD55718.1|+|tet(36) [Bacteroides coprosuis DSM 18011]
3000198,ARO:3000198,FosX,3000133,"FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor, manganese (II), and uses water to generate a vicinal diol.",1004,gb|FFFO01000009.1|+|81761-82162|FosX [Listeria monocytogenes],gb|CWV56762.1|+|FosX [Listeria monocytogenes]
3000205,ARO:3000205,tet(X),3000036,Tet(X) is a flavin-dependent monooxygenase conferring resistance to tetracycline antibiotics. Tet(X) hydroxylates position 11a of the tetraketide group thus inactivating the antibiotic.,1003,gb|M37699.1|+|586-1752|tet(X) [Bacteroides fragilis],gb|AAA27471.1|+|tet(X) [Bacteroides fragilis]
3000206,ARO:3000206,emrK,10002,"emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC, it mediates multidrug efflux.",10000,gb|D78168.1|+|537-1592|emrK [Escherichia coli],gb|BAA11236.1|+|emrK [Escherichia coli]
3000215,ARO:3000215,mecR1,3001208,mecR1 is a transmembrane spanning and signal transducing protein which in response to interaction with beta-lactam antibiotics results in upregulation of the mecA/mecR1/mecI operon.,1002,gb|CP000703.1|+|40849-42606|mecR1 [Staphylococcus aureus subsp. aureus JH9],gb|ABQ47844.1|+|mecR1 [Staphylococcus aureus subsp. aureus JH9]
3000216,ARO:3000216,acrB,10004,Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.,10000,gb|U00096.3|-|481254-484403|acrB [Escherichia coli str. K-12 substr. MG1655],gb|AAC73564.1|+|acrB [Escherichia coli str. K-12 substr. MG1655]
3000217,ARO:3000217,blaR1,3004197,blaR1 is a transmembrane spanning and signal transducing protein which in response to interaction with beta-lactam antibiotics results in upregulation of the blaZ/blaR1/blaI operon.,1004,gb|EF540343.1|-|1464-3230|blaR1 [Alkalihalobacillus clausii],gb|ABU39979.1|+|blaR1 [Alkalihalobacillus clausii]
3000230,ARO:3000230,ANT(2'')-Ia,3007405,"Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa, K. pneumoniae, Morganella morganii, E. coli, S. typhimurium, C. freundii and A. baumannii.",1004,gb|AF078527.1|+|3770-4303|ANT(2'')-Ia [Pseudomonas aeruginosa],gb|AAC64365.1|+|ANT(2'')-Ia [Pseudomonas aeruginosa]
3000236,ARO:3000236,glycopeptide resistance gene cluster VanA,3000234,"Homologous to vanC, contains a D-Ala-D-Ser ligase. The plasmid-located vanM gene cluster is inducible and confers low resistance to vancomycin. vanN organisms remain susceptible to teicoplanin. Gene orientation: N(XY)TRS.",1001,N/A,N/A
3000237,ARO:3000237,TolC,10001;10002;10004,"Point mutations in 23S rRNA of Treponema pallidum subsp. pallidum (T. pallidum), the noncultivable agent of syphilis, shown clinically to confer resistance to erythromycin, a macrolide antibiotic.",3000244,gb|FJ768952.1|+|1-1488|TolC [Escherichia coli],gb|ACN32294.1|+|TolC [Escherichia coli]
3000245,ARO:3000245,RbpA,3004243,RNA-polymerase binding protein which confers resistance to rifampin.,1004,gb|HQ203032.1|+|1-345|RbpA [Mycolicibacterium smegmatis MC2 155],gb|ADV91011.1|+|RbpA [Mycolicibacterium smegmatis MC2 155]
3000248,ARO:3000248,DnaA,3004244,"DnaA is a chromosomal replication initiation protein which binds and interacts with RNA polymerase in Escherichia coli. A surplus of DnaA present in a cell has been shown to confer resistance to the antibiotic Rifampicin. Normally, rifampicin inhibits initiation of transcription by RNA polymerase, but a surplus of DnaA available at the origin has been shown to disrupt Rifampicin activity and confer resistance.",1003,N/A,N/A
3000250,ARO:3000250,ErmC,3000560,"ErmC is a methyltransferase that catalyzes the methylation of A2058 of the 23S ribosomal RNA in two steps. Expression of ErmC is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmC.",1001,gb|M12730.1|+|780-1514|ErmC [Staphylococcus epidermidis],gb|AAA98296.1|+|ErmC [Staphylococcus epidermidis]
3000251,ARO:3000251,msrA,3004471,MsrA is an ABC-F subfamily ribosomal protection protein expressed in Staphylococcus species which confers resistance to erythromycin and streptogramin B antibiotics through antibiotic target protection mechanisms. It is associated with plasmid DNA.,1003,gb|X52085.1|+|343-1809|msrA [Staphylococcus epidermidis],gb|CAA36304.1|+|msrA [Staphylococcus epidermidis]
3000254,ARO:3000254,emrY,10002,emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.,10000,gb|D78168.1|+|1592-3130|emrY [Escherichia coli],gb|BAA11237.1|+|emrY [Escherichia coli]
3000263,ARO:3000263,marA,3004281;10004,"In the presence of antibiotic stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF.",10000;3000244,gb|AP009048.1|+|1621288-1621671|marA [Escherichia coli str. K-12 substr. W3110],gb|BAA15221.2|+|marA [Escherichia coli str. K-12 substr. W3110]
3000300,ARO:3000300,lsaA,3004472,"LsaA is an ABC-F subfamily protein expressed in Enterococcus faecalis. It confers resistance to clindamycin, quinupristin-dalfopristin, and dalfopristin.",1003,gb|AY225127.1|+|41-1537|lsaA [Enterococcus faecalis ATCC 29212],gb|AAO43110.1|+|lsaA [Enterococcus faecalis ATCC 29212]
3000309,ARO:3000309,emrD,10002,EmrD is a multidrug transporter from the Major Facilitator Superfamily (MFS) primarily found in Escherichia coli. EmrD couples efflux of amphipathic compounds with proton import across the plasma membrane.,10000,N/A,N/A
3000316,ARO:3000316,mphA,3000333,"The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin, telithromycin, roxithromycin) over 16-membered macrolides (e.g.tylosin, spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.",1004,gb|D16251.1|-|1626-2531|mphA [Escherichia coli],gb|BAA03776.1|+|mphA [Escherichia coli]
3000318,ARO:3000318,mphB,3000333,The mphB gene encodes for MPH(2')-II. This enzymes phosphorylates 14-membered and 16-membered macrolides. It phosphorylates macrolides in GTP- dependent manner at 2'-OH hydroxyl of desosamine sugar of macrolides.,1004,gb|D85892.1|+|1159-2067|mphB [Escherichia coli],gb|BAA12910.1|+|mphB [Escherichia coli]
3000319,ARO:3000319,mphC,3000333,The mphC gene was identified from Staphylococcus aureus. This gene shows similarity to mphB gene from Escherchia coli.,1004,gb|AB013298.1|+|2296-3195|mphC [Staphylococcus aureus],gb|BAA34540.1|+|mphC [Staphylococcus aureus]
3000326,ARO:3000326,ErmE,3000560,"ErmE is a methyltransferase found in the erythromycin producer Saccharopolyspora erythraea. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the erythromycin biosynthetic cluster and is responsible for self-resistance.",1001,gb|X51891.1|+|190-1335|ErmE [Saccharopolyspora erythraea NRRL 2338],gb|CAB60001.1|+|ErmE [Saccharopolyspora erythraea NRRL 2338]
3000343,ARO:3000343,tap,10002,"Efflux pump proteins contained within Mycobacterial genomes which confer resistance to a number of different antibiotics including aminoglycosides, and tetracyclines.",10000,gb|AJ000283.1|+|620-1849|tap [Mycolicibacterium fortuitum],gb|CAA03986.1|+|tap [Mycolicibacterium fortuitum]
3000347,ARO:3000347,ErmA,3000560,"ErmA confers the MLSb phenotype. Similar to ErmC, Expression of ErmA is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmA.",1001,gb|X03216.1|-|4551-5282|ErmA [Staphylococcus aureus],gb|CAA26964.1|+|ErmA [Staphylococcus aureus]
3000361,ARO:3000361,EreA,3000320,EreA is an erythromycin esterase that hydrolyses the drug's lactone ring.,1004,gb|AY183453.1|+|2730-3950|EreA [Escherichia coli],gb|AAO38247.1|+|EreA [Escherichia coli]
3000363,ARO:3000363,EreB,3000320,EreB is an erythromycin esterase-like protein that hydrolyses the drug's lactone ring.,1004,gb|X03988.1|+|383-1642|EreB [Escherichia coli],gb|CAA27626.1|+|EreB [Escherichia coli]
3000368,ARO:3000368,vanC,3002906;3000234,"VanC is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is specific to Enterococcus gallinarum and E. casseliflavus, providing intrinsic resistance.",1001,gb|AF162694.1|+|1411-2442|vanC [Enterococcus gallinarum],gb|AAA24786.1|+|vanC [Enterococcus gallinarum]
